,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,BLOCK POOL TECHNOLOGIES PRIVATE LIMITED,,,,,,PURCHASE ORDER,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,P.O. NUMBER,DATE
,,,,,,,,,,,12112025-003,12/11/2025
,,,VENDOR,,,,,,,CUSTOMER,,
,,,NAME,,,,BILLING DETAILS,,,NAME,,
,,,Radhe Kheda,,,,BLOCKPOOL TECHNOLOGIES PRIVATE LIMITED,,,Archit Nanda,,
,,,COMPANY NAME,,,,GST - 27AAKCB8583E1ZB,,,COMPANY NAME,,
,,,RHERISE COLLECTIVE PRIVATE LIMITED (Chapter 2 ),,,,"ADDRESS - VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063
",,,Block Pool Technologies Private Limited,,
,,,ADDRESS,,,,EMAIL ID - tauqir@knotnow.co             ,,,BILLING ADDRESS,,
,,,Floor No.: 1st Floor Building No./Flat No.: Shop No Unit No 7/8 Name Of Premises/Building: Sant Kutir Road/Street: Linking Road City/Town/Village: Mumbai District: Mumbai Suburban ,,,,PAN - AAKCB8583E									,,,"VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063	",,
,,,,,,,,,,,,
,,,PHONE,,,,,,,PHONE,,
,,,9680060050,,,,,,,89802 26979,,
,,,EMAIL ADDRESS,,,,,,,EMAIL ADDRESS,,
,,,"Showik@chapter2drip.com , operations@chapter2drip.com",,,,,,,tauqir@knotnow.co,,
,,,,,,,,,,SHIP TO,,
,,,,,,,,,,"Godown No. 105, First Floor, Shreepal Complex, Suren Road, Near WEH Metro station,
Andheri East, Mumbai- 400093",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,SNO,Brand SKU Code,,,Size,Colors,Quantity,Unit Price,Amount,
,,,1,C224DROP318-L,,,L,-,3,"2,290",6870,
,,,2,C224DROP318-M,,,M,-,2,"2,290",4580,
,,,3,C224DROP318-XL,,,XL,-,1,"2,290",2290,
,,,4,C224DROP318-XXL,,,XXL,-,1,"2,290",2290,
,,,5,C224DROP319-L,,,L,-,2,"2,290",4580,
,,,6,C224DROP319-M,,,M,-,2,"2,290",4580,
,,,7,C224DROP319-XS,,,XS,-,2,"2,290",4580,
,,,8,C224DROP321-L,,,L,-,1,"2,290",2290,
,,,9,C224DROP321-M,,,M,-,1,"2,290",2290,
,,,10,C224DROP321-S,,,S,-,1,"2,290",2290,
,,,11,C224DROP321-XL,,,XL,-,1,"2,290",2290,
,,,12,C224DROP322-L,,,L,-,3,"2,290",6870,
,,,13,C224DROP322-M,,,M,-,3,2290,6870,
,,,14,C224DROP322-S,,,S,-,3,"2,290",6870,
,,,15,C224DROP322-XS,,,XS,-,3,"2,290",6870,
,,,16,C224DROP322-XXL,,,XXL,-,1,"2,290",2290,
,,,17,C224TDC003-XL,,,XL,-,2,"1,290",2580,
,,,18,C224VTC057-XS,,,XS,-,1,"2,990",2990,
,,,19,C224VTC073-M,,,M,-,1,"2,990",2990,
,,,20,C224VTC073-S,,,S,-,1,"2,990",2990,
