,,,,,,,,,,
,,BLOCK POOL TECHNOLOGIES PRIVATE LIMITED,,,,,PURCHASE ORDER,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,P.O. NUMBER,DATE
,,,,,,,,,29052025-003,29/05/2025
,,VENDOR,,,,,,CUSTOMER,,
,,NAME,,,BILLING DETAILS,,,NAME,,
,,Priyanka Aswal,,,BLOCKPOOL TECHNOLOGIES PRIVATE LIMITED,,,Archit Nanda,,
,,COMPANY NAME,,,GST - 27AAKCB8583E1ZB,,,COMPANY NAME,,
,,Stellaro Brands Private Limited,,,"ADDRESS - VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063
",,,Block Pool Technologies Private Limited,,
,,ADDRESS,,,EMAIL ID - finance@slickapp.co                                                                        ,,,BILLING ADDRESS,,
,,"Mezzanine Floor, A-83, Okhla Industrial Area, Okhla Phase-II, 
New Delhi",,,PAN - AAKCB8583E									,,,"VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063	",,
,,,,,,,,,,
,,PHONE,,,,,,PHONE,,
,,‪+91 99109 88477‬,,,,,,89802 26979,,
,,EMAIL ADDRESS,,,,,,EMAIL ADDRESS,,
,,Neeraj.katariya@stellarobrands.com,,,,,,finance@slickapp.co,,
,,SHIP FROM,,,,,,SHIP TO,,
,,,,,,,,"Godown No. Unit No. 8, Ground Floor, Shreepal Complex, Suren Road, Near WEH Metro station, Andheri East, Mumbai- 400093",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Sno,Brand SKU Code,,Size,Colors,Quantity,Unit Price,Amount,
,,1,8905723048563,,S,Beige,1,399,399,
,,2,8905723048617,,M,Beige,2,399,798,
,,3,8905723048808,,L,Beige,2,399,798,
,,4,8905723048433,,XL,Beige,1,399,399,
,,5,8905723048631,,S,White,1,399,399,
,,6,8905723048723,,M,White,2,399,798,
,,7,8905723048396,,L,White,2,399,798,
,,8,8905723048624,,XL,White,1,399,399,
,,9,8905723140601,,S,Beige,1,499,499,
,,10,8905723140618,,M,Beige,2,499,998,
,,11,8905723140625,,L,Beige,2,499,998,
,,12,8905723140632,,XL,Beige,1,499,499,
,,13,8905723143558,,S,Off White,1,449,449,
,,14,8905723143565,,M,Off White,2,449,898,
,,15,8905723143572,,L,Off White,2,449,898,
,,16,8905723143589,,XL,Off White,1,449,449,
,,17,8905723458386,,S,Off White,1,699,699,
,,18,8905723458393,,M,Off White,2,699,"1,398",
,,19,8905723458409,,L,Off White,2,699,"1,398",
,,20,8905723458416,,XL,Off White,1,699,699,
,,21,8905723460426,,S,Green,1,"1,499","1,499",
,,22,8905723460433,,M,Green,2,"1,499","2,998",
,,23,8905723460440,,L,Green,2,"1,499","2,998",
,,24,8905723460457,,XL,Green,1,"1,499","1,499",
,,25,8905723460600,,S,Yellow,1,799,799,
,,26,8905723460617,,M,Yellow,2,799,"1,598",
,,27,8905723460624,,L,Yellow,2,799,"1,598",
,,28,8905723460631,,XL,Yellow,1,799,799,
,,29,8905723461386,,S,Wine,1,"1,199","1,199",
,,30,8905723461393,,M,Wine,2,"1,199","2,398",
