,,,,,,,,,,,,,,
,,BLOCK POOL TECHNOLOGIES PRIVATE LIMITED,,,,,,PURCHASE ORDER,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,P.O. NUMBER,DATE,,,
,,,,,,,,,,02062025-001,02/06/2025,,,
,,VENDOR,,,,,,,CUSTOMER,,,,,
,,NAME,,,,BILLING DETAILS,,,NAME,,,,,
,,Raditya,,,,BLOCKPOOL TECHNOLOGIES PRIVATE LIMITED,,,Archit Nanda,,,,,
,,COMPANY NAME,,,,GST - 27AAKCB8583E1ZB,,,COMPANY NAME,,,,,
,,WHAT THE FLEX,,,,"ADDRESS - VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063
",,,Block Pool Technologies Private Limited,,,,,
,,ADDRESS,,,,EMAIL ID - finance@slickapp.co                                                                        ,,,BILLING ADDRESS,,,,,
,,"Ghadge Patil House, House no. 100, Anjali Nivas, Near Padmavati Hils Society Pune:411021",,,,PAN - AAKCB8583E									,,,"VO-461 - WeWork NESCO IT Park, 10th Floor Building 4, Nesco IT Park, Western Express Highway, Goregaon (East) Mumbai, Maharashtra 400063	",,,,,
,,,,,,,,,,,,,,
,,PHONE,,,,,,,PHONE,,,,,
,,‪+91 95019 23809‬,,,,,,,89802 26979,,,,,
,,EMAIL ADDRESS,,,,,,,EMAIL ADDRESS,,,,,
,,whattheflex0@gmail.com,,,,,,,finance@slickapp.co,,,,,
,,SHIP FROM,,,,,,,SHIP TO,,,,,
,,,,,,,,,"Godown No. Unit No. 8, Ground Floor, Shreepal Complex, Suren Road, Near WEH Metro station, Andheri East, Mumbai- 400093",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Sno,Brand SKU Code,KNOT SKU Code,,Size,Colors,Quantity,Unit Price,Amount,,,,
,,1,OJ-BLACKDENIM-28,W1-WTF-0-28-659,,28,Black,4,"1,799","7,196",,,,
,,2,OJ-BLUEDENIM-28,W1-WTF-0-28-660,,28,Blue,4,"1,799","7,196",,,,
,,3,OJ-BLUEDENIM-30,W1-WTF-0-30-661,,30,Blue,8,"1,799","14,392",,,,
,,4,OJ-BLUEDENIM-32,W1-WTF-0-32-662,,32,Blue,6,"1,799","10,794",,,,
,,5,OJ-BLUEDENIM-34,W1-WTF-0-34-663,,34,Blue,4,"1,799","7,196",,,,
,,6,BS-FACEOFGOD-S,W1-WTF-0-S-1,,S,Brown,6,"1,199","7,194",,,,
,,7,BS-FACEOFGOD-L,W1-WTF-0-L-629,,L,Brown,8,"1,199","9,592",,,,
,,8,HT-CALLEDHIGHER-S,W1-WTF-0-S-57,,S,Purple,6,"1,199","7,194",,,,
,,9,HT-CALLEDHIGHER-M,W1-WTF-0-M-58,,M,Purple,14,"1,199","16,786",,,,
,,10,CP-CHARCOALGREYPCKT-28,W1-WTF-0-28-638,,28,Grey,8,"2,199","17,592",,,,
,,11,CP-CHARCOALGREYPCKT-30,W1-WTF-0-30-639,,30,Grey,6,"2,199","13,194",,,,
,,12,CP-CHARCOALGREYPCKT-32,W1-WTF-0-32-640,,32,Grey,6,"2,199","13,194",,,,
,,13,OT-DARKHOURS-M,W1-WTF-0-M-664,,M,Grey,6,899,"5,394",,,,
